employeeId,department,tenureMonths,month,year,attendanceRate,lateCount,absenceCount,leaveCount,averageWorkingHours,overtimeHours,halfDayCount,previousPerformanceScore,departmentAverage,performanceScore,attritionRisk
EMP-034,QA,63,9,2026,85.74,5,1,3,7.28,3.9,2,82.17,75.61,69.84,0
EMP-020,Finance,28,12,2024,98.45,0,0,3,7.96,11.93,1,88.91,80.14,83.96,0
EMP-015,Operations,80,5,2026,98.57,1,1,2,6.62,8.99,2,88.65,72.09,72.92,0
EMP-012,Finance,110,10,2025,67.42,3,2,2,9.24,12.63,0,74.13,77.41,70.07,0
EMP-042,Sales,90,7,2023,72.27,10,4,4,8.74,0.02,0,84.36,67.24,49.26,0
EMP-006,Marketing,31,4,2025,88.84,5,2,2,6.91,0,2,94.09,76.8,67.77,0
EMP-030,QA,57,4,2023,97.82,3,0,5,9.34,6.08,0,50.97,73.16,74.27,0
EMP-009,Marketing,53,1,2024,80.1,1,1,4,8.85,9.37,3,86.96,73.33,75.7,0
EMP-001,Operations,50,2,2026,84.68,1,0,3,8.75,8.49,3,86.88,70.01,75.57,0
EMP-012,Finance,120,8,2026,68.15,7,6,7,6.57,4.15,3,87.01,78.36,42.36,0
EMP-004,Finance,88,12,2025,96.01,3,3,4,7.83,0.97,0,68.04,80.4,67.28,0
EMP-023,Marketing,125,7,2026,87.72,1,0,2,8.36,6.57,0,49.87,70.03,72.49,0
EMP-036,HR,74,2,2025,93.71,1,3,1,7.67,10.19,2,60.77,72.26,73.02,0
EMP-028,Engineering,104,9,2024,85.14,1,1,3,9.45,7.39,1,95.01,81.13,80.09,0
EMP-044,Operations,101,6,2024,80.52,4,0,2,8.52,11.89,3,72.02,65.15,69.94,0
EMP-032,Engineering,88,5,2026,77.26,5,6,2,7.15,12.92,3,89.52,79.05,54.68,0
EMP-049,HR,93,11,2026,95.35,4,1,2,8.54,12.31,0,71.27,70.62,80.15,0
EMP-036,HR,59,11,2023,83.99,4,2,4,8.52,14.53,1,56.79,74.11,64.17,0
EMP-019,QA,58,6,2025,80.29,3,0,5,7.41,2.35,0,79.32,70.1,68.34,0
EMP-037,QA,112,8,2025,77.45,7,4,5,6.64,7.34,3,83.59,71.56,46.56,0
EMP-049,HR,75,5,2025,81.16,0,2,1,8.78,3.59,0,74.05,69.87,68.98,0
