employeeId,department,tenure_months,attendance_rate,late_count,absence_count,leave_days_taken,annual_leave_remaining,performance_score,dept_avg_performance,overtime_hours,half_day_count,prev_month_score,manager_change_count,warnings_issued,attrition_risk,attrition_label
EMP0000,Support,15,97.51,0,0,14,6,60.87,82.16,7.3,2,49.52,0,0,6.4,0
EMP0001,Sales,54,90.96,4,1,7,13,81.44,72.5,6.9,2,72.72,0,0,4.67,0
EMP0002,Engineering,94,82.0,4,3,7,13,68.72,80.7,0.3,1,76.86,1,1,13.41,0
EMP0003,Engineering,49,85.02,5,1,10,10,76.78,85.66,0.6,0,81.35,1,0,7.76,0
EMP0004,Support,89,70.92,6,5,2,18,74.47,72.48,8.3,1,75.99,2,0,21.8,0
EMP0005,Support,59,92.1,2,1,3,17,73.72,68.44,1.1,1,67.38,0,1,6.19,0
EMP0006,Operations,88,84.16,4,0,17,3,37.35,75.78,3.3,0,34.45,0,0,6.77,0
EMP0007,HR,21,59.49,11,6,5,15,65.22,88.8,0,0,65.2,0,0,22.21,0
EMP0008,Sales,1,76.7,4,4,10,10,99.28,75.39,8.4,0,98.28,1,1,13.36,0
EMP0009,Operations,17,72.38,3,4,12,8,45.66,87.11,0,0,36.04,0,0,9.87,0
EMP0010,HR,16,88.06,3,3,8,12,72.57,74.27,2.0,1,72.19,0,0,8.68,0
EMP0011,Sales,17,83.86,0,1,6,14,59.89,84.73,8.9,0,60.93,1,0,10.16,0
EMP0012,Engineering,52,85.06,1,2,9,11,66.5,78.62,10.1,1,65.76,1,1,8.51,0
EMP0013,Sales,2,100.0,0,0,6,14,64.33,72.74,5.2,0,64.71,0,1,12.82,0
EMP0014,Support,72,80.71,3,3,10,10,95.32,81.44,5.9,2,98.83,2,0,11.08,0
EMP0015,Operations,9,73.12,5,4,10,10,82.12,65.78,0,0,79.25,0,2,16.55,0
EMP0016,Operations,34,73.79,7,3,11,9,74.06,47.2,9.6,1,71.74,0,0,12.36,0
EMP0017,Operations,48,85.19,5,1,7,13,99.27,63.32,2.4,0,98.17,0,1,4.5,0
EMP0018,Support,71,93.46,2,1,11,9,63.51,68.92,3.8,1,52.66,0,1,7.24,0
EMP0019,Operations,82,95.07,1,0,10,10,67.67,86.54,0.9,1,66.58,0,0,5.06,0
EMP0020,Finance,6,94.63,0,0,9,11,79.47,65.73,8.6,2,67.23,1,3,14.16,0
EMP0021,Engineering,23,87.09,1,3,4,16,90.78,73.52,14.5,3,82.53,1,0,11.15,0
EMP0022,Finance,30,90.98,4,0,9,11,95.86,69.33,9.8,0,100.0,0,0,0.0,0
EMP0023,Sales,34,100.0,0,0,13,7,36.84,87.82,12.5,1,43.57,0,0,8.8,0
EMP0024,Support,95,82.54,3,4,10,10,68.13,82.37,0,0,72.69,0,0,13.4,0
EMP0025,HR,86,100.0,0,1,4,16,68.45,81.58,4.0,0,75.62,1,0,7.24,0
EMP0026,HR,95,90.44,2,0,7,13,60.81,75.09,0,1,70.34,0,0,8.29,0
EMP0027,Engineering,59,73.47,7,4,13,7,63.54,74.53,3.5,1,63.69,0,0,9.16,0
EMP0028,Sales,60,96.64,1,1,4,16,80.6,85.73,3.4,4,72.15,0,0,1.67,0
EMP0029,Sales,58,100.0,0,0,8,12,74.35,75.96,0,0,82.89,0,0,1.65,0
EMP0030,Sales,11,93.62,2,0,2,18,87.18,67.0,2.4,1,89.59,2,0,9.15,0
EMP0031,Sales,49,59.6,10,5,11,9,94.68,62.34,1.7,1,87.5,0,0,8.99,0
EMP0032,Support,87,93.74,0,2,0,20,91.18,83.93,0,0,90.28,0,1,3.87,0
EMP0033,Finance,28,77.55,5,4,5,15,87.97,79.59,0,0,86.07,2,0,11.11,0
EMP0034,Engineering,4,95.6,0,1,8,12,88.62,69.84,2.4,0,94.98,0,0,1.16,0
EMP0035,Operations,40,90.13,2,0,13,7,87.59,74.31,1.7,0,86.02,0,1,2.65,0
EMP0036,Engineering,73,90.26,1,0,9,11,61.22,83.71,0,4,61.01,0,1,10.98,0
EMP0037,Support,67,97.3,0,0,3,17,59.11,74.25,0,2,59.77,0,1,0.48,0
EMP0038,Sales,86,85.9,3,2,5,15,79.9,66.14,14.4,0,90.33,0,2,7.97,0
EMP0039,HR,72,88.94,0,0,4,16,75.65,77.18,13.1,0,73.09,0,0,7.19,0
EMP0040,Finance,46,85.22,2,2,10,10,76.49,61.78,1.7,1,79.33,0,1,11.14,0
EMP0041,Finance,13,92.99,0,0,10,10,72.1,77.57,4.6,0,69.09,0,1,12.57,1
EMP0042,Finance,61,77.14,5,4,7,13,78.45,83.53,6.8,0,76.19,0,1,9.48,1
EMP0043,Operations,16,76.37,5,2,4,16,76.2,80.64,1.3,0,70.41,0,0,7.56,0
EMP0044,Operations,81,92.28,4,1,10,10,74.91,64.78,6.5,0,75.11,1,0,9.44,0
EMP0045,Finance,81,69.7,6,4,9,11,75.25,74.57,7.3,3,78.62,0,1,15.73,0
EMP0046,HR,89,83.94,5,2,12,8,56.53,85.01,0,0,59.61,0,0,10.55,0
EMP0047,Engineering,87,94.82,0,0,5,15,58.98,70.21,24.1,0,58.21,2,0,8.1,0
EMP0048,Engineering,21,79.13,7,2,17,3,80.88,68.33,5.5,0,73.89,0,0,19.4,0
EMP0049,Sales,60,81.39,5,1,13,7,57.32,77.91,11.3,2,50.13,1,0,9.73,0
EMP0050,Operations,91,96.27,2,0,7,13,100.0,71.12,4.7,1,99.36,1,0,0.0,0
EMP0051,HR,32,81.54,4,3,13,7,73.82,87.47,8.4,1,70.57,1,0,9.79,0
